,Accession,BioProjects,BioSample accession,Completeness,Gene count,Geographic Location,Geographic Region,Host Common Name,Host Infraspecific Names Breed,Host Infraspecific Names Cultivar,Host Infraspecific Names Ecotype,Host Infraspecific Names Isolate,Host Infraspecific Names Sex,Host Infraspecific Names Strain,Host Name,Host Pangolin Classification,Host Taxonomic ID,Is Annotated,Is Complete,Is Lab Host,Is Vaccine Strain,Isolate Collection date,Isolate Lineage,Isolate Lineage source,Lab Host,Length,Mature peptide count,Molecule type,Nucleotide completeness,Protein count,Purpose of Sampling,Release date,Source database,SRA Accessions,Submitter Affiliation,Submitter Country,Submitter Names,Update date,Virus Common Name,Virus Infraspecific Names Breed,Virus Infraspecific Names Cultivar,Virus Infraspecific Names Ecotype,Virus Infraspecific Names Isolate,Virus Infraspecific Names Sex,Virus Infraspecific Names Strain,Virus Name,Virus Pangolin Classification,Virus Taxonomic ID
84,MK784175.1,,,PARTIAL,,"USA: Suffolk County, NY",North America,,,,,,,,Vitis vinifera,,29760.0,True,,,,2018-09,NY18_Merlot16_4_1,,,570,,,,1.0,,2019-11-05T00:00:00Z,GenBank,,"Cornell University, Plant Pathology and Plant-Microbe Biology",USA,"Cieniewicz,E.,Flasco,M.,Brunelli,M.,Onwumelu,A.,Wise,A.,Fuchs,M.",2019-11-05T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
106,MK784153.1,,,PARTIAL,,"USA: Napa County, CA",North America,,,,,,,,Vitis vinifera,,29760.0,True,,,,2018-10,CA18_CS169_26_63,,,570,,,,1.0,,2019-11-05T00:00:00Z,GenBank,,"Cornell University, Plant Pathology and Plant-Microbe Biology",USA,"Cieniewicz,E.,Flasco,M.,Brunelli,M.,Onwumelu,A.,Wise,A.,Fuchs,M.",2019-11-05T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
130,MK575528.1,,,PARTIAL,,Argentina,South America,,,,,,,,Vitis vinifera,,29760.0,True,,,,2018-06-04,GRMZ2,,,235,,,,1.0,,2019-03-23T00:00:00Z,GenBank,,"Estacion Experimental Agropecuaria Mendoza, Instituto Nacional de Tecnologia Agropecuaria (EEA-Mendoza-INTA)",Argentina,"Luna,F.,Debat,H.J.,Moyano,S.,Zavallo,D.,Asurmendi,S.,Gomez-Talquenca,S.",2019-03-23T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
134,MH557096.1,,,COMPLETE,,Mexico,North America,,,,,,,,Vitis vinifera,,29760.0,True,,,,2016,Guadalupe-JGB,,,3205,,,,6.0,,2018-10-01T00:00:00Z,GenBank,,"Center for Scientific Research and Higher Education at Ensenada, Microbiology",Mexico,"Gasperin-Bulbarela,J.,Licea-Navarro,A.F.,Pino-Villar,C.,Hernandez-Martinez,R.,Carrillo-Tripp,J.",2018-10-01T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
136,MH476301.1,,,COMPLETE,,Canada,North America,,,,,,,,Vitis vinifera,,29760.0,True,,,,2016-09-20,NSRB8,,,3207,,,,4.0,,2019-09-09T00:00:00Z,GenBank,,"Summerland Research and Development Centre and Kentville Research and Development Centre, Plant Pathology",Canada,"Poojari,S.,Moreau,D.L.,Kahl,D.,Lowery,T.D.,Urbez Torres,J.R.",2019-09-09T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
144,MG976084.1,,,COMPLETE,,"USA: Solano County, CA",North America,,,,,,,,Vitis vinifera,,29760.0,True,,,,2017-05,Solano19,,,3259,,,,6.0,,2018-10-16T00:00:00Z,GenBank,,"Cornell University, Plant Pathology and Plant-Microbe Biology",USA,"Cieniewicz,E.J.,Thompson,J.R.,McLane,H.,Perry,K.,Dangl,G.,Corbett,Q.,Martinson,T.,Wise,A.,O'Connell,J.,Wallis,A.,Dunst,R.,Fuchs,M.",2018-10-16T00:00:00Z,,,,,,,,Wild vitis virus 1,,2025352
147,MG976081.1,,,PARTIAL,,"USA: Sonoma County, CA",North America,,,,,,,,,,,True,,,,2017-05,Sonoma_33,,,616,,,,1.0,,2018-09-23T00:00:00Z,GenBank,,"Cornell University, Plant Pathology and Plant-Microbe Biology",USA,"Cieniewicz,E.,Thompson,J.R.,McLane,H.,Perry,K.L.,Dangl,G.S.,Corbett,Q.,Martinson,T.,Wise,A.,Wallis,A.,O'Connell,J.,Dunst,R.,Cox,K.,Fuchs,M.,Cieniewicz,E.J.,Perry,K.",2018-09-23T00:00:00Z,,,,,,,,Wild vitis virus 1,,2025352
149,MG976079.1,,,PARTIAL,,"USA: Glenn County, CA",North America,,,,,,,,,,,True,,,,2017-10,Glenn_5,,,620,,,,1.0,,2018-09-23T00:00:00Z,GenBank,,"Cornell University, Plant Pathology and Plant-Microbe Biology",USA,"Cieniewicz,E.,Thompson,J.R.,McLane,H.,Perry,K.L.,Dangl,G.S.,Corbett,Q.,Martinson,T.,Wise,A.,Wallis,A.,O'Connell,J.,Dunst,R.,Cox,K.,Fuchs,M.,Cieniewicz,E.J.,Perry,K.",2018-09-23T00:00:00Z,,,,,,,,Wild vitis virus 1,,2025352
150,MG976078.1,,,PARTIAL,,"USA: Sutter County, CA",North America,,,,,,,,,,,True,,,,2017-05,Sutter_Canal2,,,582,,,,1.0,,2018-09-23T00:00:00Z,GenBank,,"Cornell University, Plant Pathology and Plant-Microbe Biology",USA,"Cieniewicz,E.,Thompson,J.R.,McLane,H.,Perry,K.L.,Dangl,G.S.,Corbett,Q.,Martinson,T.,Wise,A.,Wallis,A.,O'Connell,J.,Dunst,R.,Cox,K.,Fuchs,M.,Cieniewicz,E.J.,Perry,K.",2018-09-23T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
158,MG976070.1,,,PARTIAL,,"USA: Sacramento County, CA",North America,,,,,,,,,,,True,,,,2015,NY1607,,,582,,,,1.0,,2018-09-23T00:00:00Z,GenBank,,"Cornell University, Plant Pathology and Plant-Microbe Biology",USA,"Cieniewicz,E.,Thompson,J.R.,McLane,H.,Perry,K.L.,Dangl,G.S.,Corbett,Q.,Martinson,T.,Wise,A.,Wallis,A.,O'Connell,J.,Dunst,R.,Cox,K.,Fuchs,M.,Cieniewicz,E.J.,Perry,K.",2018-09-23T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
224,MF510413.1,,,COMPLETE,,China,Asia,,,,,,,,Prunus salicina,,88123.0,True,,,,2017-06-22,PL11,,,3174,,,,6.0,,2018-02-15T00:00:00Z,GenBank,,"University of California -Davis, Department of Plant Pathology",USA,"Al Rwahnih,M.,Alabi,O.,Westrick,N.,Golino,D.",2018-02-15T00:00:00Z,,,,,,,,Prunus geminivirus A,,2022321
225,MF510412.1,,,COMPLETE,,,,,,,,,,,Prunus salicina,,88123.0,True,,,,2017-06-22,PL10,,,3175,,,,6.0,,2018-02-15T00:00:00Z,GenBank,,"University of California -Davis, Department of Plant Pathology",USA,"Al Rwahnih,M.,Alabi,O.,Westrick,N.,Golino,D.",2018-02-15T00:00:00Z,,,,,,,,Prunus geminivirus A,,2022321
227,MF510410.1,,,COMPLETE,,USSR,Europe,,,,,,,,Prunus domestica,,3758.0,True,,,,2017-06-22,PL8,,,3174,,,,6.0,,2018-02-15T00:00:00Z,GenBank,,"University of California -Davis, Department of Plant Pathology",USA,"Al Rwahnih,M.,Alabi,O.,Westrick,N.,Golino,D.",2018-02-15T00:00:00Z,,,,,,,,Prunus geminivirus A,,2022321
231,MF504039.1,,,COMPLETE,,India,Asia,,,,,,,,Prunus bokhariensis,,743732.0,True,,,,2017-06-22,PL1,,,3174,,,,6.0,,2019-02-01T00:00:00Z,GenBank,,"University of California -Davis, Department of Plant Pathology",USA,"Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Alabi,O.,Westrick,N.",2019-02-01T00:00:00Z,,,,,,,,Prunus geminivirus A,,2022321
232,MF504038.1,,,COMPLETE,,Turkey,Asia,,,,,,,,Prunus armeniaca,,36596.0,True,,,,2017-06-22,AP16,,,3174,,,,6.0,,2019-02-01T00:00:00Z,GenBank,,"University of California -Davis, Department of Plant Pathology",USA,"Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Alabi,O.,Westrick,N.",2019-02-01T00:00:00Z,,,,,,,,Prunus geminivirus A,,2022321
234,MF504036.1,,,COMPLETE,,Hungary,Europe,,,,,,,,Prunus armeniaca,,36596.0,True,,,,2017-06-22,AP13,,,3175,,,,6.0,,2019-02-01T00:00:00Z,GenBank,,"University of California -Davis, Department of Plant Pathology",USA,"Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Alabi,O.,Westrick,N.",2019-02-01T00:00:00Z,,,,,,,,Prunus geminivirus A,,2022321
235,MF504035.1,,,COMPLETE,,Kazakhstan,Asia,,,,,,,,Prunus armeniaca,,36596.0,True,,,,2017-06-22,AP12,,,3174,,,,6.0,,2019-02-01T00:00:00Z,GenBank,,"University of California -Davis, Department of Plant Pathology",USA,"Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Alabi,O.,Westrick,N.",2019-02-01T00:00:00Z,,,,,,,,Prunus geminivirus A,,2022321
236,MF504034.1,,,COMPLETE,,France,Europe,,,,,,,,Prunus armeniaca,,36596.0,True,,,,2017-06-22,AP11,,,3176,,,,6.0,,2019-02-01T00:00:00Z,GenBank,,"University of California -Davis, Department of Plant Pathology",USA,"Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Alabi,O.,Westrick,N.",2019-02-01T00:00:00Z,,,,,,,,Prunus geminivirus A,,2022321
238,MF504032.1,,,COMPLETE,,South Africa,Africa,,,,,,,,Prunus armeniaca,,36596.0,True,,,,2017-06-14,AP9,,,3175,,,,6.0,,2019-02-01T00:00:00Z,GenBank,,"University of California -Davis, Department of Plant Pathology",USA,"Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Alabi,O.,Westrick,N.",2019-02-01T00:00:00Z,,,,,,,,Prunus geminivirus A,,2022321
239,MF504031.1,,,COMPLETE,,Pakistan,Asia,,,,,,,,Prunus armeniaca,,36596.0,True,,,,2017-06-14,AP6,,,3174,,,,6.0,,2019-02-01T00:00:00Z,GenBank,,"University of California -Davis, Department of Plant Pathology",USA,"Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Alabi,O.,Westrick,N.",2019-02-01T00:00:00Z,,,,,,,,Prunus geminivirus A,,2022321
240,MF504030.1,,,COMPLETE,,Poland,Europe,,,,,,,,Prunus armeniaca,,36596.0,True,,,,2017-06-14,AP4,,,3174,,,,6.0,,2019-02-01T00:00:00Z,GenBank,,"University of California -Davis, Department of Plant Pathology",USA,"Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Alabi,O.,Westrick,N.",2019-02-01T00:00:00Z,,,,,,,,Prunus geminivirus A,,2022321
267,KY498155.1,,,PARTIAL,,USA: Ohio,North America,,,,,,,,,,,True,,,,2015,OH15-109,,,675,,,,1.0,,2018-01-15T00:00:00Z,GenBank,,"The Ohio State University, Department of Plant Pathology",USA,"Yao,X.,Han,J.,Domier,L.,Ellis,M.,Scurlock,D.,Dami,I.,Qu,F.",2018-01-15T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
310,KU821056.1,,,COMPLETE,,South Korea,Asia,,,,,,,,Vitis vinifera,,29760.0,True,,,,2014-07-22,SW6,,,3207,,,,6.0,,2016-03-07T00:00:00Z,GenBank,,"Korea Research Institute of Bioscience and Biotechnology, Molecular Biofarming Research Center",,"Lim,S.,Igori,D.,Zhao,F.,Cho,I.-S.,Choi,G.-S.,Moon,J.S.",2016-03-07T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
311,KU564256.1,,,COMPLETE,,USA: CA,North America,,,,,,,,Vitis vinifera,,29760.0,True,,,,2014,NY926,,,3206,,,,6.0,,2016-03-21T00:00:00Z,GenBank,,"Cornell University, Plant Pathology",USA,"Perry,K.L.,McLane,H.,Hyder,M.Z.,Dangl,G.,Thompson,J.R.,Fuchs,M.F.,Hyder,Z.",2016-03-21T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
328,KM390002.1,,,PARTIAL,,"USA: CA, Napa Co.",North America,,,,,,,,Rubus discolor,,457917.0,True,,,,,NC4RD125,,,513,,,,1.0,,2014-12-14T00:00:00Z,GenBank,,"University of California, Davis, Entomology",USA,"Bahder,B.W.,Lawler,T.,Gonzalez,S.,Anderson,M.,Uyemoto,J.,Zalom,F.,Sudarshana,M.",2014-12-14T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
329,KM390001.1,,,PARTIAL,,"USA: CA, Mendocino Co.",North America,,,,,,,,Rubus discolor,,457917.0,True,,,,,MC1RD100,,,513,,,,1.0,,2014-12-14T00:00:00Z,GenBank,,"University of California, Davis, Entomology",USA,"Bahder,B.W.,Lawler,T.,Gonzalez,S.,Anderson,M.,Uyemoto,J.,Zalom,F.,Sudarshana,M.",2014-12-14T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
330,KM390000.1,,,PARTIAL,,"USA: CA, Yolo Co.",North America,,,,,,,,Rubus discolor,,457917.0,True,,,,,YC2RD81,,,513,,,,1.0,,2014-12-14T00:00:00Z,GenBank,,"University of California, Davis, Entomology",USA,"Bahder,B.W.,Lawler,T.,Gonzalez,S.,Anderson,M.,Uyemoto,J.,Zalom,F.,Sudarshana,M.",2014-12-14T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
333,KM389997.1,,,PARTIAL,,"USA: CA, Sonoma Co.",North America,,,,,,,,Rubus discolor,,457917.0,True,,,,,SoC1RD47,,,513,,,,1.0,,2014-12-14T00:00:00Z,GenBank,,"University of California, Davis, Entomology",USA,"Bahder,B.W.,Lawler,T.,Gonzalez,S.,Anderson,M.,Uyemoto,J.,Zalom,F.,Sudarshana,M.",2014-12-14T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
334,KM389996.1,,,PARTIAL,,"USA: CA, Sacramento Co.",North America,,,,,,,,Rubus discolor,,457917.0,True,,,,,SC1RD8,,,513,,,,1.0,,2014-12-14T00:00:00Z,GenBank,,"University of California, Davis, Entomology",USA,"Bahder,B.W.,Lawler,T.,Gonzalez,S.,Anderson,M.,Uyemoto,J.,Zalom,F.,Sudarshana,M.",2014-12-14T00:00:00Z,,,,,,,,Grapevine red blotch virus,,1381007
342,KF137562.1,,,COMPLETE,,"USA: Oregon, vineyard near Newberg",North America,,,,,,,,Vitis vinifera,,29760.0,True,,,,2011-07,OR1a,,,3206,,,,6.0,,2013-09-17T00:00:00Z,GenBank,,"University of Basel, Department of Environmental Sciences, Botany",Switzerland,"Seguin,J.,Rajeswaran,R.,Malpica-Lopez,N.,Martin,R.R.,Kasschau,K.,Dolja,V.V.,Otten,P.,Farinelli,L.,Pooggin,M.M.",2014-02-27T00:00:00Z,,,,,,,,Grapevine geminivirus,,1177191
