Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
MT041691.1			COMPLETE		Iran: Kerman, Jiroft	Asia								Medicago sativa		3879	true				2017-10-21	IR:Jir:23Jir:Alf:17	plant leaf		2972				6		2020-07-25T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Heydanejad,J.,Massumi,H.,Kleinow,T.,Jeske,H.,Varsani,A.,Heydarnejad,J.	2020-07-25T00:00:00Z								Sesame curly top virus		2487726
MH595454.1			COMPLETE		Iran: Kerman, Orzoeyeh	Asia											true				2014	IR/Orz/LH_4/14			2984				6		2018-11-18T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Varsani,A.	2018-11-18T00:00:00Z								Sesame curly top virus		2487726
MH595453.1			COMPLETE		Iran: Kerman, Jiroft	Asia											true				2014	IR/Jir/JK_10-3/14			2972				6		2018-11-18T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Varsani,A.	2018-11-18T00:00:00Z								Sesame curly top virus		2487726
MH595452.1			COMPLETE		Iran: Kerman, Jiroft	Asia											true				2014	IR/Jir/JK_10-2/14			2972				6		2018-11-18T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Varsani,A.	2018-11-18T00:00:00Z								Sesame curly top virus		2487726
MH595451.1			COMPLETE		Iran: Kerman, Jiroft	Asia											true				2014	IR/Jir/JK_7-4/14			2972				6		2018-11-18T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Varsani,A.	2018-11-18T00:00:00Z								Sesame curly top virus		2487726
MH595450.1			COMPLETE		Iran: Kerman, Jiroft	Asia											true				2014	IR/Jir/JK_6-2/14			2972				6		2018-11-18T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Varsani,A.	2018-11-18T00:00:00Z								Sesame curly top virus		2487726
MH595449.1			COMPLETE		Iran: Kerman, Jiroft	Asia											true				2014	IR/Jir/JK_1-6/14			2972				6		2018-11-18T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Varsani,A.	2018-11-18T00:00:00Z								Sesame curly top virus		2487726
MH595448.1			COMPLETE		Iran: Kerman, Orzoeyeh	Asia											true				2014	IR/Orz/LH_4-15/14			2972				6		2018-11-18T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Varsani,A.	2018-11-18T00:00:00Z								Sesame curly top virus		2487726
MH595447.1			COMPLETE		Iran: Kerman, Orzoeyeh	Asia											true				2014	IR/Orz/LH_4-3/14			2974				6		2018-11-18T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Varsani,A.	2018-11-18T00:00:00Z								Sesame curly top virus		2487726
MH595446.1			COMPLETE		Iran: Kerman, Orzoeyeh	Asia											true				2014	IR/Orz/LH_4-5/14			2972				6		2018-11-18T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Varsani,A.	2018-11-18T00:00:00Z								Sesame curly top virus		2487726
MH595445.1			COMPLETE		Iran: Kerman, Orzoeyeh	Asia											true				2014	IR/Orz/LH_4-2/14			2972				6		2018-11-18T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Varsani,A.	2018-11-18T00:00:00Z								Sesame curly top virus		2487726
MH595444.1			COMPLETE		Iran: Kerman, Sirjan	Asia											true				2014	IR/Sir/LH_1-13/14			2972				6		2018-11-18T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Varsani,A.	2018-11-18T00:00:00Z								Sesame curly top virus		2487726
MH595443.1			COMPLETE		Iran: Kerman, Jiroft	Asia								Sesamum indicum		4182	true				2017	IR/Jir/JIR36/Ses/17	plant leaf		2972				6		2018-11-18T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Hasanvand,V.,Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Varsani,A.	2018-11-18T00:00:00Z								Sesame curly top virus		2487726
MF536416.1			COMPLETE		Iran: Shiraz, Lapooei	Asia								Datura stramonium		4076	true				2013-11-16	IR:Lap:L2-7:Jim:13	plant leaf		2968				6		2018-06-18T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.	2018-06-18T00:00:00Z								Turnip curly top virus		859650
MF344550.1			COMPLETE		Pakistan: Layyah	Asia								Sesamum indicum		4182	true				2012-07-19	SeYMV_386	plant leaf		2964				6		2018-06-25T00:00:00Z	GenBank		University of the Punjab, Institute of Agricultural Sciences	Pakistan	Zia Ur Rehman,M.,Hameed,U.,Ilyas,M.,Iqbal,M.J.,Haider,M.S.,Brown,J.K.	2018-06-25T00:00:00Z								Sesame yellow mosaic virus		2231646
KX533468.1			COMPLETE		Iran	Asia											true				2013	TCTV_IR_CZ7_2013			2970				6		2016-12-12T00:00:00Z	GenBank		University of Canterbury, School of Biological Sciences	New Zealand	Heydarnejad,J.,Pouramini,N.,Kamali,M.,Massumi,H.,Farkas,K.,Kraberger,S.,Varsani,A.	2016-12-12T00:00:00Z								Turnip curly top virus		859650
KX533467.1			COMPLETE		Iran	Asia											true				2013	TCTV_IR_CZ1_2013			2969				6		2016-12-12T00:00:00Z	GenBank		University of Canterbury, School of Biological Sciences	New Zealand	Heydarnejad,J.,Pouramini,N.,Kamali,M.,Massumi,H.,Farkas,K.,Kraberger,S.,Varsani,A.	2016-12-12T00:00:00Z								Turnip curly top virus		859650
KT388088.1			COMPLETE		Iran	Asia								Brassica rapa var. rapa		1652998	true				2014	IR:Ney:N8-5:Tur:14			2971				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip leaf roll virus		1766828
KT388087.1			COMPLETE		Iran	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Zaf:Z11-4:Tur:12			2962				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip leaf roll virus		1766828
KT388086.1			COMPLETE		Iran	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Zaf:Z11-Bgl:Tur:12			2962				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip leaf roll virus		1766828
KT388085.1			COMPLETE		Iran	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Zaf:Z7:Tur:12			2971				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip leaf roll virus		1766828
KT388084.1			COMPLETE		Iran	Asia								Beta vulgaris		161934	true				2012	IR:Zaf:Z4-12:Sug:12			2970				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip leaf roll virus		1766828
KT388083.1			COMPLETE		Iran	Asia								Beta vulgaris		161934	true				2012	IR:Zaf:Z4-10:Sug:12			2970				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip leaf roll virus		1766828
KT388082.1			COMPLETE		Iran	Asia								Beta vulgaris subsp. maritima		350892	true				2012	IR:Zaf:Z2-49:Red beet:12			2970				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip leaf roll virus		1766828
KT388081.1			COMPLETE		Iran	Asia								Lactuca sativa		4236	true				2012	IR:Zaf:Z2-24:Let:12			2970				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip leaf roll virus		1766828
KT388080.1			COMPLETE		Iran	Asia								Lactuca sativa		4236	true				2012	IR:Zaf:Z2-23:Let:12			2970				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip leaf roll virus		1766828
KT388079.1			COMPLETE		Iran	Asia								Lactuca sativa		4236	true				2012	IR:Zaf:Z2-22:Let:12			2964				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip leaf roll virus		1766828
KT388078.1			COMPLETE		Iran	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Zaf:Z2-15:Tur:12			2971				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip leaf roll virus		1766828
KT388077.1			COMPLETE		Iran	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Hom:Th5:Tur:12			2965				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip leaf roll virus		1766828
KT388076.1			COMPLETE		Iran	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Hom:Th2:Tur:12			2965				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip leaf roll virus		1766828
KT388075.1			COMPLETE		Iran	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Zaf:Z6:Tur:12			2968				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip curly top virus		859650
KT388074.1			COMPLETE		Iran	Asia								Raphanus sativus		3726	true				2012	IR:Zaf:Z4-22:Rad:12			2979				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip curly top virus		859650
KT388073.1			COMPLETE		Iran	Asia								Ocimum basilicum		39350	true				2012	IR:Zaf:Z4-15:Bas:12			2979				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip curly top virus		859650
KT388072.1			COMPLETE		Iran	Asia								Beta vulgaris		161934	true				2012	IR:Zaf:Z4-9:Sug:12			2979				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip curly top virus		859650
KT388071.1			COMPLETE		Iran	Asia								Raphanus sativus		3726	true				2012	IR:Zaf:Z4-7:Rad:12			2976				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip curly top virus		859650
KT388070.1			COMPLETE		Iran	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Zaf:Z3:Tur:12			2966				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip curly top virus		859650
KT388069.1			COMPLETE		Iran	Asia								Lactuca sativa		4236	true				2012	IR:Zaf:Z2-26:Let:12			2976				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip curly top virus		859650
KT388068.1			COMPLETE		Iran	Asia								Beta vulgaris		161934	true				2012	IR:Zaf:Z2-4:Sug:12			2973				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip curly top virus		859650
KT388067.1			COMPLETE		Iran	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Hom:Th10:Tur:12			2967				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip curly top virus		859650
KT388066.1			COMPLETE		Iran	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Hom:Th9:Tur:12			2967				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip curly top virus		859650
KT388065.1			COMPLETE		Iran	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Hom:Th8:Tur:12			2944				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip curly top virus		859650
KT388064.1			COMPLETE		Iran	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Lap:L14:Tur:12			2969				6		2015-12-10T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Kamali,M.,Heydarnejad,J.,Massumi,H.,Kvarnheden,A.,Kraberger,S.,Varsani,A.	2016-05-12T00:00:00Z								Turnip curly top virus		859650
KC108906.1			COMPLETE		Iran: Zafarabad, Shiraz, Fars	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Zaf:Z5-2:Tur:12			2968				6		2012-12-22T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Razavinejad,S.,Heydarnejad,J.,Kamali,M.,Massumi,H.,Kraberger,S.,Varsani,A.	2012-12-22T00:00:00Z								Turnip curly top virus		859650
KC108905.1			COMPLETE		Iran: Zafarabad, Shiraz, Fars	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Zaf:Z2-1:Tur:12			2968				6		2012-12-22T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Razavinejad,S.,Heydarnejad,J.,Kamali,M.,Massumi,H.,Kraberger,S.,Varsani,A.	2012-12-22T00:00:00Z								Turnip curly top virus		859650
KC108904.1			COMPLETE		Iran: Homayejan, Shiraz, Fars	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Hom:H8:Tur:12			2974				6		2012-12-22T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Razavinejad,S.,Heydarnejad,J.,Kamali,M.,Massumi,H.,Kraberger,S.,Varsani,A.	2012-12-22T00:00:00Z								Turnip curly top virus		859650
KC108903.1			COMPLETE		Iran: Zafarabad, Shiraz, Fars	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Zaf:Z10:Tur:12			2968				6		2012-12-22T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Razavinejad,S.,Heydarnejad,J.,Kamali,M.,Massumi,H.,Kraberger,S.,Varsani,A.	2012-12-22T00:00:00Z								Turnip curly top virus		859650
KC108902.1			COMPLETE		Iran: Homayejan, Shiraz, Fars	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Hom:H9:Tur:12			2967				6		2012-12-22T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Razavinejad,S.,Heydarnejad,J.,Kamali,M.,Massumi,H.,Kraberger,S.,Varsani,A.	2012-12-22T00:00:00Z								Turnip curly top virus		859650
KC108901.1			COMPLETE		Iran: Homayejan, Shiraz, Fars	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Hom:H1:Tur:12			2968				6		2012-12-22T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Razavinejad,S.,Heydarnejad,J.,Kamali,M.,Massumi,H.,Kraberger,S.,Varsani,A.	2012-12-22T00:00:00Z								Turnip curly top virus		859650
KC108900.1			COMPLETE		Iran: Zafarabad, Shiraz, Fars	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Zaf:Z2-18:Tur:12			2973				6		2012-12-22T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Razavinejad,S.,Heydarnejad,J.,Kamali,M.,Massumi,H.,Kraberger,S.,Varsani,A.	2012-12-22T00:00:00Z								Turnip curly top virus		859650
KC108899.1			COMPLETE		Iran: Homayejan, Shiraz, Fars	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Hom:H6:Tur:12			2972				6		2012-12-22T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Razavinejad,S.,Heydarnejad,J.,Kamali,M.,Massumi,H.,Kraberger,S.,Varsani,A.	2012-12-22T00:00:00Z								Turnip curly top virus		859650
KC108898.1			COMPLETE		Iran: Zafarabad, Shiraz, Fars	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Zaf:Z2-14:Tur:12			2973				6		2012-12-22T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Razavinejad,S.,Heydarnejad,J.,Kamali,M.,Massumi,H.,Kraberger,S.,Varsani,A.	2012-12-22T00:00:00Z								Turnip curly top virus		859650
KC108897.1			COMPLETE		Iran: Zafarabad, Shiraz, Fars	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Zaf:Z9:Tur:12			2972				6		2012-12-22T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Razavinejad,S.,Heydarnejad,J.,Kamali,M.,Massumi,H.,Kraberger,S.,Varsani,A.	2012-12-22T00:00:00Z								Turnip curly top virus		859650
KC108896.1			COMPLETE		Iran: Lapouei, Shiraz, Fars	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Lap:L16:Tur:12			2973				6		2012-12-22T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Razavinejad,S.,Heydarnejad,J.,Kamali,M.,Massumi,H.,Kraberger,S.,Varsani,A.	2012-12-22T00:00:00Z								Turnip curly top virus		859650
KC108895.1			COMPLETE		Iran: Lapouei, Shiraz, Fars	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Lap:L2-P:Tur:12			2980				6		2012-12-22T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Razavinejad,S.,Heydarnejad,J.,Kamali,M.,Massumi,H.,Kraberger,S.,Varsani,A.	2012-12-22T00:00:00Z								Turnip curly top virus		859650
KC108894.1			COMPLETE		Iran: Zafarabad, Shiraz, Fars	Asia								Brassica rapa var. rapa		1652998	true				2012	IR:Zaf:Z8:Tur:12			2981				6		2012-12-22T00:00:00Z	GenBank		Shahid Bahonar University of Kerman, Plant Protection	Iran	Razavinejad,S.,Heydarnejad,J.,Kamali,M.,Massumi,H.,Kraberger,S.,Varsani,A.	2012-12-22T00:00:00Z								Turnip curly top virus		859650
