,Accession,BioProjects,BioSample accession,Completeness,Gene count,Geographic Location,Geographic Region,Host Common Name,Host Infraspecific Names Breed,Host Infraspecific Names Cultivar,Host Infraspecific Names Ecotype,Host Infraspecific Names Isolate,Host Infraspecific Names Sex,Host Infraspecific Names Strain,Host Name,Host Pangolin Classification,Host Taxonomic ID,Is Annotated,Is Complete,Is Lab Host,Is Vaccine Strain,Isolate Collection date,Isolate Lineage,Isolate Lineage source,Lab Host,Length,Mature peptide count,Molecule type,Nucleotide completeness,Protein count,Purpose of Sampling,Release date,Source database,SRA Accessions,Submitter Affiliation,Submitter Country,Submitter Names,Update date,Virus Common Name,Virus Infraspecific Names Breed,Virus Infraspecific Names Cultivar,Virus Infraspecific Names Ecotype,Virus Infraspecific Names Isolate,Virus Infraspecific Names Sex,Virus Infraspecific Names Strain,Virus Name,Virus Pangolin Classification,Virus Taxonomic ID
16,ON014768.1,,,COMPLETE,,"Iran: Fariman,Khorasan Razavi province",Asia,,,,,,,,Brassica rapa var. rapa,,1652998.0,True,,,,2016,IR:Fariman/Turnip-2016,,,2857,,,,5,,2023-05-08T00:00:00Z,GenBank,,"Ferdowsi University, Plant Protection",Iran,"Mehrabi Nasab,A.,Mehrvar,M.",2023-05-08T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
18,ON014766.1,,,COMPLETE,,"Iran: Toroq,Mashhad,Khorasan Razavi province",Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2016,IR:Torog/Beet-2016,,,2846,,,,5,,2023-05-08T00:00:00Z,GenBank,,"Ferdowsi University, Plant Protection",Iran,"Mehrabi Nasab,A.,Mehrvar,M.",2023-05-08T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
19,NC_037065.1,PRJNA485481,,COMPLETE,,South Africa,Africa,,,,,,,,Exomis microphylla,,378845.0,True,,,,2012,2-90-C1,,,2974,,,,5,,2018-02-22T00:00:00Z,RefSeq,,"National Center for Biotechnology Information, NIH",USA,"Claverie,S.,Bernardo,P.,Kraberger,S.,Hartnady,P.,Lefeuvre,P.,Lett,J.-M.,Filloux,D.,Harkins,G.W.,Varsani,A.,Martin,D.P.,Roumagnac,P.",2018-08-13T00:00:00Z,,,,,,,,Exomis microphylla associated virus,,2093275
21,NC_010417.1,PRJNA485481,,COMPLETE,,Iran: Kerman,Asia,,,,,,,,Beta vulgaris subsp. vulgaris,,3555.0,True,,,,,Kerman,,,2845,,,,5,,2008-03-04T00:00:00Z,RefSeq,,"National Center for Biotechnology Information, NIH",USA,"Yazdi,H.R.,Heydarnejad,J.,Massumi,H.,Bolok Yazdi,H.R.,Hosseini Abhari,E.",2018-08-13T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
54,MT459433.1,,,COMPLETE,,Turkey: Yozgat,Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2018-08,,,,2843,,,,5,,2021-09-01T00:00:00Z,GenBank,,"Ondokuz Mayis University, Molecular Biology and Genetics",,"Yildirim,K.",2021-09-01T00:00:00Z,,,,,,,,Becurtovirus sp.,,2809181
55,MT459432.1,,,COMPLETE,,Turkey: Adapazari,Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2018-08,,,,2840,,,,5,,2021-09-01T00:00:00Z,GenBank,,"Ondokuz Mayis University, Molecular Biology and Genetics",,"Yildirim,K.",2021-09-01T00:00:00Z,,,,,,,,Becurtovirus sp.,,2809181
56,MT459431.1,,,COMPLETE,,Turkey: Ankara,Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2018-08,,,,2839,,,,5,,2021-09-01T00:00:00Z,GenBank,,"Ondokuz Mayis University, Molecular Biology and Genetics",,"Yildirim,K.",2021-09-01T00:00:00Z,,,,,,,,Becurtovirus sp.,,2809181
57,MT459430.1,,,COMPLETE,,Turkey: Afyon,Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2018-08,,,,2840,,,,5,,2021-09-01T00:00:00Z,GenBank,,"Ondokuz Mayis University, Molecular Biology and Genetics",,"Yildirim,K.",2021-09-01T00:00:00Z,,,,,,,,Becurtovirus sp.,,2809181
58,MT459429.1,,,COMPLETE,,Turkey: Aksaray,Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2018-08,,,,2839,,,,5,,2021-09-01T00:00:00Z,GenBank,,"Ondokuz Mayis University, Molecular Biology and Genetics",,"Yildirim,K.",2021-09-01T00:00:00Z,,,,,,,,Becurtovirus sp.,,2809181
60,MT459427.1,,,PARTIAL,,Turkey: Burdur,Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2018-08,,,,662,,,,1,,2021-09-01T00:00:00Z,GenBank,,"ondokuz mayis university, molecular biology and genetics",,"Yildirim,K.",2021-09-01T00:00:00Z,,,,,,,,Becurtovirus sp.,,2809181
61,MT459426.1,,,PARTIAL,,Turkey: Corum,Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2018-08,,,,662,,,,1,,2021-09-01T00:00:00Z,GenBank,,"ondokuz mayis university, molecular biology and genetics",,"Yildirim,K.",2021-09-01T00:00:00Z,,,,,,,,Becurtovirus sp.,,2809181
63,MT459424.1,,,PARTIAL,,Turkey: Eskisehir,Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2018-08,,,,662,,,,1,,2021-09-01T00:00:00Z,GenBank,,"ondokuz mayis university, molecular biology and genetics",,"Yildirim,K.",2021-09-01T00:00:00Z,,,,,,,,Becurtovirus sp.,,2809181
64,MT459423.1,,,PARTIAL,,Turkey: Kastamonu,Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2018-08,,,,662,,,,1,,2021-09-01T00:00:00Z,GenBank,,"ondokuz mayis university, molecular biology and genetics",,"Yildirim,K.",2021-09-01T00:00:00Z,,,,,,,,Becurtovirus sp.,,2809181
66,MT459421.1,,,PARTIAL,,Turkey: Kayseri,Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2018-08,,,,662,,,,1,,2021-09-01T00:00:00Z,GenBank,,"ondokuz mayis university, molecular biology and genetics",,"Yildirim,K.",2021-09-01T00:00:00Z,,,,,,,,Becurtovirus sp.,,2809181
67,MT459420.1,,,PARTIAL,,Turkey: Usak,Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2018-08,,,,662,,,,1,,2021-09-01T00:00:00Z,GenBank,,"ondokuz mayis university, molecular biology and genetics",,"Yildirim,K.",2021-09-01T00:00:00Z,,,,,,,,Becurtovirus sp.,,2809181
68,MT459419.1,,,PARTIAL,,Turkey: Kutahya,Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2018-08,,,,662,,,,1,,2021-09-01T00:00:00Z,GenBank,,"ondokuz mayis university, molecular biology and genetics",,"Yildirim,K.",2021-09-01T00:00:00Z,,,,,,,,Becurtovirus sp.,,2809181
70,MT459417.1,,,PARTIAL,,Turkey: Kirsehir,Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2018-08,,,,662,,,,1,,2021-09-01T00:00:00Z,GenBank,,"ondokuz mayis university, molecular biology and genetics",,"Yildirim,K.",2021-09-01T00:00:00Z,,,,,,,,Becurtovirus sp.,,2809181
71,MT459416.1,,,PARTIAL,,Turkey: Konya,Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2018-08,,,,662,,,,1,,2021-09-01T00:00:00Z,GenBank,,"ondokuz mayis university, molecular biology and genetics",,"Yildirim,K.",2021-09-01T00:00:00Z,,,,,,,,Becurtovirus sp.,,2809181
73,MN478352.1,,,PARTIAL,,"Iran: Razavi Khorasan, Mashhad",Asia,,,,,,,,Solanum melongena,,4111.0,True,,,,2016,BCTIV-[IR:Mash:Egg2:Egg:16],,,1204,,,,3,,2020-06-03T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Plant Protection",Iran,"Tahan,V.,Heydarnejad,J.",2020-06-03T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
100,KF158391.1,,,PARTIAL,,"Iran: Orumiyeh, West Azarbayejan province",Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2010-08-21,IR:Oru:7Beet:Sugar beet:2010,,,1514,,,,1,,2016-10-01T00:00:00Z,GenBank,,"Ferdowsi University of Mashhad, Plant Protection",Iran,"Gharouni-Kardani,S.,Heydarnejad,J.,Zakiaghl,M.,Varsani,A.",2016-10-01T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
101,KC571253.1,,,COMPLETE,,"Iran: Fariman, Ghalandar Abad, Khorasan Razavi province",Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2010-08-21,Iran:Fariman:6Beet:Sugar beet:2010,,,2837,,,,5,,2016-09-01T00:00:00Z,GenBank,,"Ferdowsi University of Mashhad, Plant Protection",Iran,"Gharouni Kardani,S.,Heydarnejad,J.,Zaki Aghl,M.",2016-09-01T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
102,KC571252.1,,,COMPLETE,,"Iran: Chenaran, Razavi Khorasan province",Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2010-08-03,Iran:Chenaran:5Beet:Sugar beet:2010,,,2837,,,,5,,2016-09-01T00:00:00Z,GenBank,,"Ferdowsi University of Mashhad, Plant Protection",Iran,"Gharouni Kardani,S.,Heydarnejad,J.,Zaki Aghl,M.",2016-09-01T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
103,JX987671.1,,,COMPLETE,,"Iran: Homayejan, Fars province",Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2010,IR:Hom:Tu69:Sea beet:10,,,2844,,,,5,,2013-01-21T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Plant Protection",Iran,"Gharouni Kardani,S.,Heydarnejad,J.,Zakiaghl,M.,Mehrvar,M.,Kraberger,S.,Varsani,A.",2013-06-06T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
104,JX966233.1,,,COMPLETE,,"Iran: Sabzevar, Khorasan Razavi province",Asia,,,,,,,,Solanum lycopersicum,,4081.0,True,,,,2010-07-18,IR:Sabz:134T:Tomato:10,,,2846,,,,5,,2013-01-30T00:00:00Z,GenBank,,"Ferdowsi University of Mashhad, Plant Protection",Iran,"Gharouni Kardani,S.,Heydarnejad,J.,Zakiaghl,M.,Mehrvar,M.,Kraberger,S.,Varsani,A.",2013-06-06T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
105,JX945572.1,,,COMPLETE,,"Iran: Tabriz, Gharamalek, East Azarbayejan province",Asia,,,,,,,,Beta vulgaris subsp. maritima,,350892.0,True,,,,2010-08-21,IR:Tabr:8RB:Red beet:10,,,2839,,,,5,,2013-01-30T00:00:00Z,GenBank,,"Ferdowsi University of Mashhad, Plant Protection",Iran,"Gharouni Kardani,S.,Heydarnejad,J.,Zakiaghl,M.,Mehrvar,M.,Kraberger,S.,Varsani,A.",2013-06-06T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
106,JX945571.1,,,COMPLETE,,"Iran: Orumiyeh, West Azarbayejan provinces",Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2010-08-21,IR:Oru:7Beet:Sug:10,,,2839,,,,5,,2013-01-30T00:00:00Z,GenBank,,"Ferdowsi University of Mashhad, Plant Protection",Iran,"Gharouni Kardani,S.,Heydarnejad,J.,Zakiaghl,M.,Mehrvar,M.,Kraberger,S.,Varsani,A.",2013-06-06T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
107,JX945570.1,,,COMPLETE,,"Iran: Bojnord, Shaghe, Northern Khorasan Province",Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2010-07-21,IR:Boj:3Beet:Sug:10,,,2846,,,,5,,2013-01-30T00:00:00Z,GenBank,,"Ferdowsi University of Mashhad, Plant Protection",Iran,"Gharouni Kardani,S.,Heydarnejad,J.,Zakiaghl,M.,Mehrvar,M.,Kraberger,S.,Varsani,A.",2013-06-06T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
108,JX945569.1,,,COMPLETE,,"Iran: Mashhad, Torogh, Khorasan Razavi province",Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2010-07-16,IR:Toro:1B:Sug:10,,,2845,,,,5,,2013-01-30T00:00:00Z,GenBank,,"Ferdowsi University of Mashhad, Plant Protection",Iran,"Gharouni Kardani,S.,Heydarnejad,J.,Zakiaghl,M.,Mehrvar,M.,Kraberger,S.,Varsani,A.",2013-06-06T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
110,JX458087.1,,,COMPLETE,,"Iran: Neyshabour, Khorasan Razavi province",Asia,,,,,,,,Phaseolus vulgaris,,3885.0,True,,,,2010-07-03,IR:Nesh:115:Bean:10,,,2859,,,,5,,2013-01-30T00:00:00Z,GenBank,,"Ferdowsi University of Mashhad, Plant Protection",Iran,"Gharouni Kardani,S.,Heydarnejad,J.,Zakiaghl,M.,Mehrvar,M.,Kraberger,S.,Varsani,A.,Zaki Aghl,M.",2013-06-06T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
111,JX131634.1,,,COMPLETE,,"Iran: Dargaz, Khorasan Razavi province",Asia,,,,,,,,Vigna unguiculata,,3917.0,True,,,,2010-07-03,IR:Dar:128:Cowpea:10,,,2843,,,,5,,2013-01-30T00:00:00Z,GenBank,,"Ferdowsi University of Mashhad, Plant Protection",Iran,"Gharouni Kardani,S.,Heydarnejad,J.,Zakiaghl,M.,Mehrvar,M.,Kraberger,S.,Varsani,A.,Zaki Aghl,M.",2013-06-06T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
112,JX131633.1,,,COMPLETE,,"Iran: Tabadkan, Khorasan Razavi province",Asia,,,,,,,,Vigna unguiculata,,3917.0,True,,,,2010-06-19,IR:Tab:90:Cowpea:10,,,2845,,,,5,,2013-01-30T00:00:00Z,GenBank,,"Ferdowsi University of Mashhad, Plant Protection",Iran,"Gharouni Kardani,S.,Heydarnejad,J.,Zakiaghl,M.,Mehrvar,M.,Kraberger,S.,Varsani,A.,Zaki Aghl,M.",2013-06-06T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
114,JQ707951.1,,,COMPLETE,,Iran: Yazd,Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2006,IR:Yaz:B35K:Sug:06,,,2844,,,,5,,2012-05-26T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Plant Protection",Iran,"Heydarnejad,J.,Keyvani,N.,Razavinejad,S.,Massumi,H.,Varsani,A.",2013-01-28T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
115,JQ707950.1,,,COMPLETE,,"Iran: Negar, Kerman",Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2008,IR:Neg:B34P:Sug:08,,,2844,,,,5,,2012-05-26T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Plant Protection",Iran,"Heydarnejad,J.,Keyvani,N.,Razavinejad,S.,Massumi,H.,Varsani,A.",2013-01-28T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
119,JQ707946.1,,,COMPLETE,,"Iran: Dashtkar, Kerman",Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2008,IR:Dash:B29P:Sug:08,,,2844,,,,5,,2012-05-26T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Plant Protection",Iran,"Heydarnejad,J.,Keyvani,N.,Razavinejad,S.,Massumi,H.,Varsani,A.",2013-01-28T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
122,JQ707943.1,,,COMPLETE,,"Iran: Kamal-Abad, Kerman",Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2008,IR:Kam:B24K:Sug:08,,,2845,,,,5,,2012-05-26T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Plant Protection",Iran,"Heydarnejad,J.,Keyvani,N.,Razavinejad,S.,Massumi,H.,Varsani,A.",2013-01-28T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
124,JQ707941.1,,,COMPLETE,,"Iran: Kavar, Fars",Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2008,IR:Kav:B22K:Sug:08,,,2844,,,,5,,2012-05-26T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Plant Protection",Iran,"Heydarnejad,J.,Keyvani,N.,Razavinejad,S.,Massumi,H.,Varsani,A.",2013-01-28T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
126,JQ707939.1,,,COMPLETE,,"Iran: Shiraz, Fars",Asia,,,,,,,,Beta vulgaris,,161934.0,True,,,,2006,IR:Shi:B18K:Sug:06,,,2843,,,,5,,2012-05-26T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Plant Protection",Iran,"Heydarnejad,J.,Keyvani,N.,Razavinejad,S.,Massumi,H.,Varsani,A.",2013-01-28T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
130,EU273817.1,,,COMPLETE,,Iran: Shiraz,Asia,,,,,,,,Beta vulgaris subsp. vulgaris,,3555.0,True,,,,,Sh2,,,2844,,,,5,,2008-03-03T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Department of Plant Protection",Iran,"Yazdi,H.R.,Heydarnejad,J.,Massumi,H.,Bolok Yazdi,H.R.",2008-05-06T00:00:00Z,,,,,,,,Beet curly top Iran virus-[Sh2],,501372
132,EU263013.1,,,PARTIAL,,Iran: Karaj,Asia,,,,,,,,Beta vulgaris subsp. vulgaris,,3555.0,True,,,,,Kj,,,672,,,,1,,2008-02-26T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Department of Plant Protection",Iran,"Yazdi,H.R.,Heydarnejad,J.,Massumi,H.,Bolok Yazdi,H.R.",2008-05-06T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
133,EU263012.1,,,PARTIAL,,Iran: Khorasan Razavi,Asia,,,,,,,,Beta vulgaris subsp. vulgaris,,3555.0,True,,,,,Kh,,,672,,,,1,,2008-02-26T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Department of Plant Protection",Iran,"Yazdi,H.R.,Heydarnejad,J.,Massumi,H.,Bolok Yazdi,H.R.",2008-05-06T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
135,EU263010.1,,,PARTIAL,,Iran: Boushehr,Asia,,,,,,,,Solanum lycopersicum,,4081.0,True,,,,,To,,,674,,,,1,,2008-02-26T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Department of Plant Protection",Iran,"Yazdi,H.R.,Heydarnejad,J.,Massumi,H.,Bolok Yazdi,H.R.",2008-05-06T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
137,EU263008.1,,,PARTIAL,,Iran: Isfahan,Asia,,,,,,,,Beta vulgaris subsp. vulgaris,,3555.0,True,,,,,Is,,,670,,,,1,,2008-02-26T00:00:00Z,GenBank,,"Shahid Bahonar University of Kerman, Department of Plant Protection",Iran,"Yazdi,H.R.,Heydarnejad,J.,Massumi,H.,Bolok Yazdi,H.R.",2008-05-06T00:00:00Z,,,,,,,,Beet curly top Iran virus,,391228
