,Accession,BioProjects,BioSample accession,Completeness,Gene count,Geographic Location,Geographic Region,Host Common Name,Host Infraspecific Names Breed,Host Infraspecific Names Cultivar,Host Infraspecific Names Ecotype,Host Infraspecific Names Isolate,Host Infraspecific Names Sex,Host Infraspecific Names Strain,Host Name,Host Pangolin Classification,Host Taxonomic ID,Is Annotated,Is Complete,Is Lab Host,Is Vaccine Strain,Isolate Collection date,Isolate Lineage,Isolate Lineage source,Lab Host,Length,Mature peptide count,Molecule type,Nucleotide completeness,Protein count,Purpose of Sampling,Release date,Source database,SRA Accessions,Submitter Affiliation,Submitter Country,Submitter Names,Update date,Virus Common Name,Virus Infraspecific Names Breed,Virus Infraspecific Names Cultivar,Virus Infraspecific Names Ecotype,Virus Infraspecific Names Isolate,Virus Infraspecific Names Sex,Virus Infraspecific Names Strain,Virus Name,Virus Pangolin Classification,Virus Taxonomic ID
51,MW698821.1,,,COMPLETE,,"France: Occitanie,Montpellier",Europe,,,,,,,,Medicago arborea,,66807.0,True,,,,2019,BG2 capuz 47,plant leaf,,2746,,,,6,,2021-05-29T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Ma,Y.,Svanella-Dumas,L.,Julian,C.,Galzi,S.,Fernandez,E.,Yvon,M.,Pirolles,E.,Lefebvre,M.,Filloux,D.,Roumagnac,P.,Candresse,T.",2021-05-29T00:00:00Z,,,,,,,,Trifolium virus 1,,2838317
54,MW698818.1,,,COMPLETE,,"France: Rhone river delta,Le Sambuc",Europe,,,,,,,,Trifolium repens,,3899.0,True,,,,2018,COL-25,plant leaf,,2759,,,,6,,2021-05-29T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Ma,Y.,Svanella-Dumas,L.,Julian,C.,Galzi,S.,Fernandez,E.,Yvon,M.,Pirolles,E.,Lefebvre,M.,Filloux,D.,Roumagnac,P.,Candresse,T.",2021-05-29T00:00:00Z,,,,,,,,Trifolium virus 1,,2838317
56,MW698816.1,,,COMPLETE,,"France: Nouvelle Aquitaine,Bergerac",Europe,,,,,,,,Trifolium repens,,3899.0,True,,,,2016,T.plasmid-18,plant leaf,,2755,,,,6,,2021-05-29T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Ma,Y.,Svanella-Dumas,L.,Julian,C.,Galzi,S.,Fernandez,E.,Yvon,M.,Pirolles,E.,Lefebvre,M.,Filloux,D.,Roumagnac,P.,Candresse,T.",2021-05-29T00:00:00Z,,,,,,,,Trifolium virus 1,,2838317
63,MH603860.1,,,COMPLETE,,"Tunisia: Beja, Beja",Africa,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,TuAl20_17,plant leaf,,2745,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
64,MH603859.1,,,COMPLETE,,"Tunisia: Ariana, Qal'at Al Andalus",Africa,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,TuAl16_17,plant leaf,,2743,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
68,MH603855.1,,,COMPLETE,,"Syria: Hama, Jeb Ramleh",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,SyAl45-17,plant leaf,,2730,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
69,MH603854.1,,,COMPLETE,,"Syria: Hama, Khan Gelmidon",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,SyAl40-17,plant leaf,,2740,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
70,MH603853.1,,,COMPLETE,,"Syria: Hama, Mahrusah",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,SyAl35-17,plant leaf,,2730,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
71,MH603852.1,,,COMPLETE,,"Spain: Andalousia, Chauchina",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,ES53,plant leaf,,2745,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
77,MH603846.1,,,COMPLETE,,"Spain: Andalousia, Trasmulas",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,ES26,plant leaf,,2741,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
79,MH603844.1,,,COMPLETE,,"Spain: Andalousia, Huetor Tajar",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,ES17,plant leaf,,2742,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
82,MH603841.1,,,COMPLETE,,"Lebanon: Beka'a, Terbol",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,LAl3_17,plant leaf,,2730,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
84,MH603839.1,,,COMPLETE,,"Jordan: Irbid, Ar Ramtha",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,JoAl31-17,plant leaf,,2726,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
85,MH603838.1,,,COMPLETE,,"Jordan: Balqa, Deir Alla",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,JoAl30-17,plant leaf,,2728,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
87,MH603836.1,,,COMPLETE,,"Italy: Aosta Valley, Courmayeur",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,COURM2,plant leaf,,2744,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
88,MH603835.1,,,COMPLETE,,"Italy: Liguria, Poggi",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,I44,plant leaf,,2746,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
89,MH603834.1,,,COMPLETE,,"Italy: Tuscany, Prato",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,I42,plant leaf,,2746,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
90,MH603833.1,,,COMPLETE,,"Italy: Emilia Romagna, Malalbergo",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,I32,plant leaf,,2733,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
92,MH603831.1,,,COMPLETE,,"Italy: Emilia Romagna, San Giovanni in Persiceto",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,I25,plant leaf,,2734,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
93,MH603830.1,,,COMPLETE,,"Italy: Emilia Romagna, Mirandola",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,I23,plant leaf,,2735,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
94,MH603829.1,,,COMPLETE,,"Iran: Sistan and Baluchestan, Khash",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2015,Kh17,plant leaf,,2754,,,,6,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
95,MH603828.1,,,COMPLETE,,"Iran: Hormozgan, Bandar Abbas",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2015,38,plant leaf,,2726,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
96,MH603827.1,,,COMPLETE,,"Iran: Razavi Khorasan, Sabzevar",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,254,plant leaf,,2765,,,,6,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
97,MH603826.1,,,COMPLETE,,"Iran: Lorestan, Noor Abad",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2016,2LO,plant leaf,,2727,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
99,MH603824.1,,,COMPLETE,,"Iran: Kerman, Jiroft",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2015,1BJ,plant leaf,,2764,,,,6,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
100,MH603823.1,,,COMPLETE,,"Iran: Isfahan, Filor",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2015,ME13,plant leaf,,2727,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
