Accession	BioProjects	BioSample accession	Completeness	Gene count	Geographic Location	Geographic Region	Host Common Name	Host Infraspecific Names Breed	Host Infraspecific Names Cultivar	Host Infraspecific Names Ecotype	Host Infraspecific Names Isolate	Host Infraspecific Names Sex	Host Infraspecific Names Strain	Host Name	Host Pangolin Classification	Host Taxonomic ID	Is Annotated	Is Complete	Is Lab Host	Is Vaccine Strain	Isolate Collection date	Isolate Lineage	Isolate Lineage source	Lab Host	Length	Mature peptide count	Molecule type	Nucleotide completeness	Protein count	Purpose of Sampling	Release date	Source database	SRA Accessions	Submitter Affiliation	Submitter Country	Submitter Names	Update date	Virus Common Name	Virus Infraspecific Names Breed	Virus Infraspecific Names Cultivar	Virus Infraspecific Names Ecotype	Virus Infraspecific Names Isolate	Virus Infraspecific Names Sex	Virus Infraspecific Names Strain	Virus Name	Virus Pangolin Classification	Virus Taxonomic ID
NC_026760.1	PRJNA485481		COMPLETE		China	Asia								Malus domestica		3750	true				2013	China			2932				6		2015-04-04T00:00:00Z	RefSeq		National Center for Biotechnology Information, NIH	USA	Liang,P.,Li,S.	2021-11-04T00:00:00Z								Apple geminivirus 1		2843704
MZ488502.1			COMPLETE		Taiwan	Asia								Vitis sp.		3604	true				2021-04-19	WPG			2905				6		2022-10-08T00:00:00Z	GenBank		Taiwan Agricultural Research Institute, Plant Pathology Division	Taiwan	Lin,M.-J.,Cheng,Y.-H.,Tsai,C.-S.,Lin,C.-P.	2022-10-08T00:00:00Z								Grapevine geminivirus A		1906317
MT344714.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2019	2019YM4			2905				6		2020-09-07T00:00:00Z	GenBank		Institute of Biotechnology, Zhejiang university	China	Sun,S.W.,Hu,Y.,Jiang,G.Z.,Tian,Y.M.,Ding,M.,Yu,C.,Zhou,X.P.,Qian,Y.J.	2020-09-07T00:00:00Z								Grapevine geminivirus A		1906317
MT344713.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2019	2019YM3			2904				6		2020-09-07T00:00:00Z	GenBank		Institute of Biotechnology, Zhejiang university	China	Sun,S.W.,Hu,Y.,Jiang,G.Z.,Tian,Y.M.,Ding,M.,Yu,C.,Zhou,X.P.,Qian,Y.J.	2020-09-07T00:00:00Z								Grapevine geminivirus A		1906317
MT344712.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2019	2019YM2			2905				6		2020-09-07T00:00:00Z	GenBank		Institute of Biotechnology, Zhejiang university	China	Sun,S.W.,Hu,Y.,Jiang,G.Z.,Tian,Y.M.,Ding,M.,Yu,C.,Zhou,X.P.,Qian,Y.J.	2020-09-07T00:00:00Z								Grapevine geminivirus A		1906317
MT344711.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2019	2019PD12			2905				6		2020-09-07T00:00:00Z	GenBank		Institute of Biotechnology, Zhejiang university	China	Sun,S.W.,Hu,Y.,Jiang,G.Z.,Tian,Y.M.,Ding,M.,Yu,C.,Zhou,X.P.,Qian,Y.J.	2020-09-07T00:00:00Z								Grapevine geminivirus A		1906317
MT344710.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2019	2019PD11			2905				6		2020-09-07T00:00:00Z	GenBank		Institute of Biotechnology, Zhejiang university	China	Sun,S.W.,Hu,Y.,Jiang,G.Z.,Tian,Y.M.,Ding,M.,Yu,C.,Zhou,X.P.,Qian,Y.J.	2020-09-07T00:00:00Z								Grapevine geminivirus A		1906317
MT344709.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2019	2019PD9			2905				6		2020-09-07T00:00:00Z	GenBank		Institute of Biotechnology, Zhejiang university	China	Sun,S.W.,Hu,Y.,Jiang,G.Z.,Tian,Y.M.,Ding,M.,Yu,C.,Zhou,X.P.,Qian,Y.J.	2020-09-07T00:00:00Z								Grapevine geminivirus A		1906317
MT344708.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2019	2019PD8			2904				6		2020-09-07T00:00:00Z	GenBank		Institute of Biotechnology, Zhejiang university	China	Sun,S.W.,Hu,Y.,Jiang,G.Z.,Tian,Y.M.,Ding,M.,Yu,C.,Zhou,X.P.,Qian,Y.J.	2020-09-07T00:00:00Z								Grapevine geminivirus A		1906317
MT344707.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2019	2019PD7			2905				6		2020-09-07T00:00:00Z	GenBank		Institute of Biotechnology, Zhejiang university	China	Sun,S.W.,Hu,Y.,Jiang,G.Z.,Tian,Y.M.,Ding,M.,Yu,C.,Zhou,X.P.,Qian,Y.J.	2020-09-07T00:00:00Z								Grapevine geminivirus A		1906317
MT344706.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2019	2019PD6			2905				6		2020-09-07T00:00:00Z	GenBank		Institute of Biotechnology, Zhejiang university	China	Sun,S.W.,Hu,Y.,Jiang,G.Z.,Tian,Y.M.,Ding,M.,Yu,C.,Zhou,X.P.,Qian,Y.J.	2020-09-07T00:00:00Z								Grapevine geminivirus A		1906317
MT344705.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2018	2018PD3			2905				6		2020-09-07T00:00:00Z	GenBank		Institute of Biotechnology, Zhejiang university	China	Sun,S.W.,Hu,Y.,Jiang,G.Z.,Tian,Y.M.,Ding,M.,Yu,C.,Zhou,X.P.,Qian,Y.J.	2020-09-07T00:00:00Z								Grapevine geminivirus A		1906317
MT344704.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2018	2018PD2			2905				6		2020-09-07T00:00:00Z	GenBank		Institute of Biotechnology, Zhejiang university	China	Sun,S.W.,Hu,Y.,Jiang,G.Z.,Tian,Y.M.,Ding,M.,Yu,C.,Zhou,X.P.,Qian,Y.J.	2020-09-07T00:00:00Z								Grapevine geminivirus A		1906317
MT344703.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2017	2017YM1			2904				6		2020-09-07T00:00:00Z	GenBank		Institute of Biotechnology, Zhejiang university	China	Sun,S.W.,Hu,Y.,Jiang,G.Z.,Tian,Y.M.,Ding,M.,Yu,C.,Zhou,X.P.,Qian,Y.J.	2020-09-07T00:00:00Z								Grapevine geminivirus A		1906317
MK690474.1			COMPLETE		New Zealand	Oceania								Vitis vinifera		29760	true				2016-02-15	VID280			2905				6		2019-10-13T00:00:00Z	GenBank		Ministry for Primary Industries, Plant Health and Environment Laboratory	New Zealand	Veerakone,S.,Barrero,R.A.,Napier,K.R.,Ward,L.I.	2019-10-13T00:00:00Z								Grapevine geminivirus A		1906317
MK336184.1			COMPLETE		South Korea	Asia								Vitis vinifera		29760	true				2014-07-30	GS01			2904				6		2019-07-31T00:00:00Z	GenBank		Korea Research Institute of Bioscience and Biotechnology, Plant Systems Engineering Research Center		Lim,S.,Moon,J.S.	2019-07-31T00:00:00Z								Grapevine geminivirus A		1906317
MG001958.1			COMPLETE		France	Europe								Juncus maritimus		223671	true				2012	13-FMN-1			2740				5		2018-01-30T00:00:00Z	GenBank		Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics	USA	Claverie,S.,Bernardo,P.,Kraberger,S.,Hartnady,P.,Lefeuvre,P.,Lett,J.-M.,Filloux,D.,Harkins,G.W.,Varsani,A.,Martin,D.P.,Roumagnac,P.	2018-02-14T00:00:00Z								Juncus maritimus associated virus		2093273
MF163265.1			PARTIAL		South Korea	Asia								Vitis		3603	true				2016-06-17	GGVA-shine-fi-1			2905				6		2017-07-11T00:00:00Z	GenBank		Seoul National University, Department of Agricultural Biotechnology	Korea	Choi,H.,Jo,Y.,Cho,W.K.	2017-07-11T00:00:00Z								Grapevine geminivirus A		1906317
MF163264.1			PARTIAL		South Korea	Asia								Vitis vinifera		29760	true				2016-06-17	GGVA-jarang-fi-1			2905				6		2017-07-11T00:00:00Z	GenBank		Seoul National University, Department of Agricultural Biotechnology	Korea	Choi,H.,Jo,Y.,Cho,W.K.	2017-07-11T00:00:00Z								Grapevine geminivirus A		1906317
MF163263.1			PARTIAL		South Korea	Asia								Vitis		3603	true				2016-06-17	GGVA-jaok-vf-1			2905				6		2017-07-11T00:00:00Z	GenBank		Seoul National University, Department of Agricultural Biotechnology	Korea	Choi,H.,Jo,Y.,Cho,W.K.	2017-07-11T00:00:00Z								Grapevine geminivirus A		1906317
MF163262.1			PARTIAL		South Korea	Asia								Vitis vinifera		29760	true				2016-06-17	GGVA-CaS-1			2905				6		2017-07-11T00:00:00Z	GenBank		Seoul National University, Department of Agricultural Biotechnology	Korea	Choi,H.,Jo,Y.,Cho,W.K.	2017-07-11T00:00:00Z								Grapevine geminivirus A		1906317
MF163261.1			PARTIAL		South Korea	Asia								Vitis monticola		754101	true				2016-06-17	GGVA-188-vf-1			2905				6		2017-07-11T00:00:00Z	GenBank		Seoul National University, Department of Agricultural Biotechnology	Korea	Choi,H.,Jo,Y.,Cho,W.K.	2017-07-11T00:00:00Z								Grapevine geminivirus A		1906317
LC744064.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2021-06-07	XJ-01			2904				6		2024-01-10T00:00:00Z	GenBank		Agricultural College; Shihezi North 4th Road, Xinjiang, Shihezi, Xinjiang 832000	China	Zhang,Y.	2024-01-10T00:00:00Z								Grapevine geminivirus A		1906317
LC424098.1			COMPLETE		Japan	Asia								Vitis labrusca x Vitis vinifera		105599	true				2018-06-08				2905				6		2018-10-26T00:00:00Z	GenBank		Institute of Fruit Tree and Tea Science, NARO; 301-2, Akitsucho Mitsu, Higashihiroshima, Hiroshima 739-2494	Japan	Chiaki,Y.,Ito,T.,Sato,A.,Sugiura,H.,Nishimura,R.	2020-01-23T00:00:00Z								Grapevine geminivirus A		1906317
KY582740.1			PARTIAL		South Korea	Asia								Vitis sp.		3604	true				2016-06-17	188-08			414				2		2018-05-02T00:00:00Z	GenBank		Seoul National University, Department of Agricultural Biotechnology	Korea	Jo,Y.,Choi,H.,Cho,W.K.	2018-05-02T00:00:00Z								Grapevine geminivirus A		1906317
KY582739.1			PARTIAL		South Korea	Asia								Vitis x labruscana		2599121	true				2016-06-17	Jaok			414				2		2018-05-02T00:00:00Z	GenBank		Seoul National University, Department of Agricultural Biotechnology	Korea	Jo,Y.,Choi,H.,Cho,W.K.	2018-05-02T00:00:00Z								Grapevine geminivirus A		1906317
KX950822.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2013-11-01	LN_ANSJ			2905				6		2017-06-09T00:00:00Z	GenBank		Research Institute of Pomology, Chinese Academy of Agricultural Science	China	Fan,X.D.,Zhang,Z.P.,Ren,F.,Hu,G.,Li,Z.N.,Dong,Y.F.,Fan,X.,Dong,Y.,Zhang,Z.,Li,Z.	2017-06-09T00:00:00Z								Grapevine geminivirus A		1906317
KX618694.1			COMPLETE		Israel	Asia								Vitis vinifera		29760	true				2016-03-15	Tamar			2905				6		2016-10-10T00:00:00Z	GenBank		University of California -Davis, Department of Plant Pathology	USA	Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Rowhani,A.,Alabi,O.,Westrick,N.	2016-10-10T00:00:00Z								Grapevine geminivirus A		1906317
KX574323.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2016-03-15	Longyan2			2903				6		2017-02-18T00:00:00Z	GenBank		University of California -Davis, Department of Plant Pathology	USA	Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Rowhani,A.,Alabi,O.,Westrick,N.	2017-02-18T00:00:00Z								Grapevine geminivirus A		1906317
KX570618.1			COMPLETE		Hungary	Europe								Vitis vinifera		29760	true				2016-03-15	Scolokertek Kiralynoje			2905				6		2016-12-24T00:00:00Z	GenBank		University of California -Davis, Department of Plant Pathology	USA	Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Rowhani,A.,Alabi,O.,Westrick,N.	2016-12-24T00:00:00Z								Grapevine geminivirus A		1906317
KX570617.1			COMPLETE		Japan	Asia								Vitis vinifera		29760	true				2016-03-15	Koshu Sanjaku			2905				6		2016-12-24T00:00:00Z	GenBank		University of California -Davis, Department of Plant Pathology	USA	Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Rowhani,A.,Alabi,O.,Westrick,N.	2016-12-24T00:00:00Z								Grapevine geminivirus A		1906317
KX570616.1			COMPLETE		Japan	Asia								Vitis vinifera		29760	true				2016-03-15	Pione			2905				6		2016-12-24T00:00:00Z	GenBank		University of California -Davis, Department of Plant Pathology	USA	Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Rowhani,A.,Alabi,O.,Westrick,N.	2016-12-24T00:00:00Z								Grapevine geminivirus A		1906317
KX570615.1			COMPLETE		Japan	Asia								Vitis vinifera		29760	true				2016-03-15	Nehelescol			2905				6		2016-12-24T00:00:00Z	GenBank		University of California -Davis, Department of Plant Pathology	USA	Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Rowhani,A.,Alabi,O.,Westrick,N.	2016-12-24T00:00:00Z								Grapevine geminivirus A		1906317
KX570614.1			COMPLETE		South Korea	Asia								Vitis vinifera		29760	true				2016-03-15	Shine Muscat			2903				6		2016-12-24T00:00:00Z	GenBank		University of California -Davis, Department of Plant Pathology	USA	Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Rowhani,A.,Alabi,O.,Westrick,N.	2016-12-24T00:00:00Z								Grapevine geminivirus A		1906317
KX570613.1			COMPLETE		Japan	Asia								Vitis vinifera		29760	true				2016-03-15	Neo-Muscat			2905				6		2016-12-24T00:00:00Z	GenBank		University of California -Davis, Department of Plant Pathology	USA	Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Rowhani,A.,Alabi,O.,Westrick,N.	2016-12-24T00:00:00Z								Grapevine geminivirus A		1906317
KX570612.1			COMPLETE		Japan	Asia								Vitis vinifera		29760	true				2016-03-15	Kyoho			2905				6		2016-12-24T00:00:00Z	GenBank		University of California -Davis, Department of Plant Pathology	USA	Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Rowhani,A.,Alabi,O.,Westrick,N.	2016-12-24T00:00:00Z								Grapevine geminivirus A		1906317
KX570611.1			COMPLETE		China	Asia								Vitis vinifera		29760	true				2016-03-15	Longyan			2904				6		2016-12-24T00:00:00Z	GenBank		University of California -Davis, Department of Plant Pathology	USA	Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Rowhani,A.,Alabi,O.,Westrick,N.	2016-12-24T00:00:00Z								Grapevine geminivirus A		1906317
KX570610.1			COMPLETE		Japan	Asia								Vitis vinifera		29760	true				2016-03-15	Super Hamburg			2906				6		2016-12-24T00:00:00Z	GenBank		University of California -Davis, Department of Plant Pathology	USA	Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Rowhani,A.,Alabi,O.,Westrick,N.	2016-12-24T00:00:00Z								Grapevine geminivirus A		1906317
KX570609.1			COMPLETE		South Korea	Asia								Vitis vinifera		29760	true				2016-01-31	Black Beet			2906				6		2016-12-24T00:00:00Z	GenBank		University of California -Davis, Department of Plant Pathology	USA	Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Rowhani,A.,Alabi,O.,Westrick,N.	2016-12-24T00:00:00Z								Grapevine geminivirus A		1906317
KX570607.1			COMPLETE		South Korea	Asia								Vitis vinifera		29760	true				2015-01-31	Nagano Purple			2905				6		2016-12-24T00:00:00Z	GenBank		University of California -Davis, Department of Plant Pathology	USA	Al Rwahnih,M.,Alabi,O.J.,Westrick,N.M.,Golino,D.,Rowhani,A.,Alabi,O.,Westrick,N.	2016-12-24T00:00:00Z								Grapevine geminivirus A		1906317
KM386645.1			COMPLETE		China	Asia								Malus domestica		3750	true				2013	China			2932				6		2015-03-29T00:00:00Z	GenBank		Chinese Academy of Agricultural Sciences, State Key Laboratory of Biology of Plant Diseases and Insect Pests, Institute of Plant Protection		Liang,P.,Li,S.	2021-10-25T00:00:00Z								Apple geminivirus 1		2843704
